 "SiO2"   "FeO"    "CaO"    "Al2O3"  "MgO"    "Na2O"
 52.8     17.7     4.06       .44    23.51     .19
 50.08    29.9     1.44      1.23    15.78     .05
 50.55    12.18    1.22       .62    34.37    0.0
 37.18    15.45     .09       .33    46.56    0.0
 54.66     9.28     .29       .09    34.88    0.0
 40.66     7.28     .21       .08    33.88    0.0
 38.55    15.79     .06       .55    45.13    0.0
 40.37    14.91     .08       .00    46.10    0.0
 38.62    16.39     .06       .00    44.93    0.0
 38.47    16.23     .03       .29    45.14    0.0
 41.07     4.3      0.0       .56    54.06    0.0
 55.33     8.44     .70       .16    34.45    0.0
 37.46    15.97     .01       .03    44.39    0.0
 38.51    15.58     .32       .40    45.69    0.0
 39.76    15.53     .05       .00    45.75    0.0
 37.73    15.36     .02       .03    45.78    0.0
 40.03    15.59     .01       .00    45.52    0.0
 48.90    29.6     7.96      3.86     6.87     .58
 51.92    31.9     0.0       1.85     0.0    12.86
 52.92     6.2    19.97      2.8     16.4      .35
 38.92     6.2    11.97      1.8     10.4      .21
 37.94    16.66     .04       .02    45.98    0.0
 36.81    16.07     .26       .28    43.59    0.0
 38.55    15.79     .06       .55    45.13    0.0
 40.37    14.91     .08       .00    46.10    0.0
 67.84      .05     0.0     19.65      .04   11.07
 64.1       .17     3.26    22.66      .25    9.89
 38.62    16.39     .06       .00    44.93    0.0
 38.47    16.23     .03       .29    45.14    0.0
 37.16    16.25     .05       .02    43.74    0.0
 66.12     0.0     2.02     21.66     0.0     10.64
 38.57    16.57     .02       .00    45.23    0.0
 42.15    14.88    1.17      1.82    39.94    0.0
 38.28    17.31     .05       .00    44.63    0.0
 38.14    15.69     .23       .25    42.83    0.0
 43.94    15.86    1.00      1.01    36.45    0.0
 38.17    17.35     .05       .00    44.30    0.0
 50.60     9.91    4.57      4.07    27.32    0.0
 53.16    11.34     .42       .59    32.75    0.0
