id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
1,Al,K,a,Fe,20.00,0.2410,0.1240,52.50
2,Al,K,a,Fe,25.00,0.2410,0.0980,52.50
3,Al,K,a,Fe,30.00,0.2410,0.0830,52.50
4,Fe,K,a,Al,20.00,0.7590,0.7360,52.50
5,Fe,K,a,Al,25.00,0.7590,0.7420,52.50
6,Fe,K,a,Al,30.00,0.7590,0.7480,52.50
7,Fe,K,a,S,10.00,0.4660,0.4060,75.00
8,Fe,K,a,S,12.00,0.4660,0.4210,75.00
9,Fe,K,a,S,15.00,0.4660,0.4250,75.00
10,Fe,K,a,S,20.00,0.4660,0.4250,75.00
11,Fe,K,a,S,25.00,0.4660,0.4220,75.00
12,Fe,K,a,S,30.00,0.4660,0.4190,75.00
13,Al,K,a,B,4.00,0.5551,0.5150,40.00
14,Al,K,a,B,6.00,0.5551,0.5178,40.00
15,Al,K,a,B,8.00,0.5551,0.5188,40.00
16,Al,K,a,B,10.00,0.5551,0.5200,40.00
17,Al,K,a,B,12.00,0.5551,0.5198,40.00
18,Al,K,a,B,15.00,0.5551,0.5170,40.00
19,Al,K,a,B,20.00,0.5551,0.5130,40.00
20,Al,K,a,B,25.00,0.5551,0.5080,40.00
21,Al,K,a,B,30.00,0.5551,0.5030,40.00
22,Al,K,a,B,4.00,0.1722,0.1500,40.00
23,Al,K,a,B,6.00,0.1722,0.1502,40.00
24,Al,K,a,B,8.00,0.1722,0.1503,40.00
25,Al,K,a,B,10.00,0.1722,0.1503,40.00
26,Al,K,a,B,12.00,0.1722,0.1503,40.00
27,Al,K,a,B,15.00,0.1722,0.1504,40.00
28,Al,K,a,B,20.00,0.1722,0.1495,40.00
29,Al,K,a,B,25.00,0.1722,0.1490,40.00
30,Al,K,a,B,30.00,0.1722,0.1455,40.00
31,Si,K,a,B,4.00,0.4780,0.4465,40.00
32,Si,K,a,B,6.00,0.4780,0.4528,40.00
33,Si,K,a,B,8.00,0.4780,0.4580,40.00
34,Si,K,a,B,10.00,0.4780,0.4622,40.00
35,Si,K,a,B,12.00,0.4780,0.4658,40.00
36,Si,K,a,B,15.00,0.4780,0.4696,40.00
37,Si,K,a,B,20.00,0.4780,0.4738,40.00
38,Si,K,a,B,25.00,0.4780,0.4758,40.00
39,Si,K,a,B,30.00,0.4780,0.4760,40.00
40,Si,K,a,B,4.00,0.3143,0.2900,40.00
41,Si,K,a,B,6.00,0.3143,0.2940,40.00
42,Si,K,a,B,8.00,0.3143,0.2978,40.00
43,Si,K,a,B,10.00,0.3143,0.3002,40.00
44,Si,K,a,B,12.00,0.3143,0.3036,40.00
45,Si,K,a,B,15.00,0.3143,0.3072,40.00
46,Si,K,a,B,20.00,0.3143,0.3120,40.00
47,Si,K,a,B,25.00,0.3143,0.3140,40.00
48,Si,K,a,B,30.00,0.3143,0.3156,40.00
49,Ti,K,a,B,6.00,0.8322,0.7922,40.00
50,Ti,K,a,B,8.00,0.8322,0.7937,40.00
51,Ti,K,a,B,10.00,0.8322,0.7942,40.00
52,Ti,K,a,B,12.00,0.8322,0.7960,40.00
53,Ti,K,a,B,15.00,0.8322,0.7978,40.00
54,Ti,K,a,B,20.00,0.8322,0.8012,40.00
55,Ti,K,a,B,25.00,0.8322,0.8042,40.00
56,Ti,K,a,B,30.00,0.8322,0.8077,40.00
57,Ti,K,a,B,6.00,0.6993,0.6330,40.00
58,Ti,K,a,B,8.00,0.6993,0.6400,40.00
59,Ti,K,a,B,10.00,0.6993,0.6462,40.00
60,Ti,K,a,B,12.00,0.6993,0.6513,40.00
61,Ti,K,a,B,15.00,0.6993,0.6578,40.00
62,Ti,K,a,B,20.00,0.6993,0.6662,40.00
63,Ti,K,a,B,25.00,0.6993,0.6738,40.00
64,Ti,K,a,B,30.00,0.6993,0.6782,40.00
65,V,K,a,B,6.00,0.7160,0.6378,40.00
66,V,K,a,B,8.00,0.7160,0.6500,40.00
67,V,K,a,B,10.00,0.7160,0.6602,40.00
68,V,K,a,B,12.00,0.7160,0.6681,40.00
69,V,K,a,B,15.00,0.7160,0.6770,40.00
70,V,K,a,B,20.00,0.7160,0.6878,40.00
71,V,K,a,B,25.00,0.7160,0.6939,40.00
72,V,K,a,B,30.00,0.7160,0.6977,40.00
73,Cr,K,a,B,8.00,0.8320,0.7758,40.00
74,Cr,K,a,B,10.00,0.8320,0.7840,40.00
75,Cr,K,a,B,12.00,0.8320,0.7905,40.00
76,Cr,K,a,B,15.00,0.8320,0.7981,40.00
77,cr,K,a,B,20.00,0.8320,0.8070,40.00
78,Cr,K,a,B,25.00,0.8320,0.8122,40.00
79,Cr,K,a,B,30.00,0.8320,0.8156,40.00
80,Cr,K,a,B,8.00,0.7269,0.6230,40.00
81,Cr,K,a,B,10.00,0.7269,0.6374,40.00
82,Cr,K,a,B,12.00,0.7269,0.6480,40.00
83,Cr,K,a,B,15.00,0.7269,0.6603,40.00
84,Cr,K,a,B,20.00,0.7269,0.6738,40.00
85,Cr,K,a,B,25.00,0.7269,0.6810,40.00
86,Cr,K,a,B,30.00,0.7269,0.6850,40.00
87,Fe,K,a,B,8.00,0.9118,0.8680,40.00
88,Fe,K,a,B,10.00,0.9118,0.8730,40.00
89,Fe,K,a,B,12.00,0.9118,0.8764,40.00
90,Fe,K,a,B,15.00,0.9118,0.8821,40.00
91,Fe,K,a,B,20.00,0.9118,0.8888,40.00
92,Fe,K,a,B,25.00,0.9118,0.8940,40.00
93,Fe,K,a,B,30.00,0.9118,0.8970,40.00
94,Fe,K,a,B,8.00,0.8378,0.7823,40.00
