Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
Fe       35.022
Mg        2.249
Si       23.099
O        38.653
F         0.977 
 
Galena    Pb S
Pb       86.598
S        13.402
 
Clausthalite    Pb Se
Pb       72.407
Se       27.593
 
Altaite    Pb Te
Pb       61.888
Te       38.112
 
Cinnabar    Hg S
Hg       86.217
S        13.783
 
Marcasite    Fe S2
Fe       46.547
S        53.453
 
K2S2O6    S K O3
S        26.909
K        32.811
O        40.280
 
Rb2S2O6    S Rb O3
S        19.371
Rb       51.632
O        28.996
 
Colusite    Cu.53 Fe.31 Zn.01 Sn.05 Mo.09 S.71 As.03 Te.02 Sb.01
Cu       35.452
Fe       18.224
Zn        0.688
Sn        6.248
Mo        9.089
S        23.965
As        2.366
Te        2.686
Sb        1.282
 
Vermiculite    Mg3 Si4 (O12 H2)
Mg       19.225
Si       29.621
O        50.622
H         0.532
 
Swedenborgite    Sb Na6 Be4 O7
Sb       29.860
Na       33.831
Be        8.841
O        27.468
 
Berthierite    Fe Sb2 S4
Fe       13.060
Sb       56.944
S        29.995
 
Valentinite    Sb2 O3
Sb       83.534
O        16.466
 
Alunite    K S2 Al3 O14 H6
K         9.439
S        15.483
Al       19.542
O        54.076
H         1.460
 
Plazolite    Al2 Ca3 Si2.001 O12
Al       12.776
Ca       28.465
Si       13.305
O        45.454
 
Delafossite    Cu Fe O2
Cu       41.975
Fe       36.889
O        21.136
 
Vermiculite    Mg3 (O12 Si4) H2
Mg       19.225
O        50.622
Si       29.621
H         0.532
 
Gudmundite    Fe Sb S
Fe       26.637
Sb       58.069
S        15.294
 
Gudmundite    Fe Sb S
Fe       26.637
Sb       58.069
S        15.294
 
Cronstedtite    Si.5 Fe1.4 O4.001 H.03
Si        8.986
Fe       50.032
O        40.963
H         0.019
 
Ralstonite    Na.35 (Al1.624 Mg.376) F3.882 O2.993 H4.022
Na        4.310
Al       23.470
Mg        4.895
F        39.504
O        25.649
H         2.171
 
Phlogopite    K Mg3 (Si3 Al) O11 (F H)
K         9.326
Mg       17.392
Si       20.097
Al        6.436
O        41.978
F         4.532
H         0.240
 
Phlogopite    K Mg3 (Si3 Al) O11 (F H)
K         9.326
Mg       17.392
Si       20.097
Al        6.436
O        41.978
F         4.532
H         0.240
 
Phlogopite    K Mg3 (Si3 Al) O11 (F H)
K         9.326
Mg       17.392
Si       20.097
Al        6.436
O        41.978
F         4.532
H         0.240
 
Lepidolite    K Mg3 (Si3 Al) O11 F
K         9.348
Mg       17.434
Si       20.145
Al        6.451
O        42.079
F         4.542
 
Biotite    K Mg3 (Si3 Al) O11 F
K         9.348
Mg       17.434
Si       20.145
Al        6.451
O        42.079
F         4.542
 
Sylvanite    Au Ag Te4
Au       24.161
Ag       13.232
Te       62.608
 
Gillespite    Ba Fe Si4 O10
Ba       29.500
Fe       11.997
Si       24.133
O        34.370
 
SiC-IV    Si7 C7
Si       70.045
C        29.955
 
SiC-VI    Si11 C11
Si       70.045
C        29.955
 
Melonite    Ni Te2
Ni       18.698
Te       81.302
 
SiC-V    Si17 C17
Si       70.045
C        29.955
 
Svanbergite    Sr Al3 (S P) O14 H6
Sr       18.980
Al       17.534
S         6.946
P         6.709
O        48.520
H         1.310
 
Woodhouseite    Ca Al3 (S P) O14 H6
Ca        9.678
Al       19.547
S         7.744
P         7.480
O        54.091
H         1.460
 
Alunite    K Al3 S2 O14 H6
K         9.439
Al       19.542
S        15.483
O        54.076
H         1.460
 
SiC-51R    Si17 C17
Si       70.045
C        29.955
 
SiC-87R    Si29 C29
Si       70.045
C        29.955
 
Nepheline    K Na3 Si4 Al4 O16
K         6.691
Na       11.803
Si       19.226
Al       18.470
O        43.810
 
Epidote    Ca2 Al2 Fe Si3 O13 H.75
Ca       16.596
Al       11.173
Fe       11.563
Si       17.445
O        43.065
H         0.157
 
Cubanite    Fe2 Cu S3
Fe       41.149
Cu       23.411
S        35.440
 
Eudidymite    Na Be Si3 O8 H
Na        9.374
Be        3.675
Si       34.354
O        52.187
H         0.411
 
BrN2C4O4    C4 N2 Br O4
C        21.842
N        12.736
Br       36.327
O        29.095
 
Tourmaline    Na Mg3 B3 Al6 Si6 (O31 H4)
Na        2.398
Mg        7.605
B         3.383
Al       16.885
Si       17.576
O        51.732
H         0.421
 
Decaborane    B5
B       100.000
 
Rickardite    Cu1.4 Te
Cu       41.080
Te       58.920
 
Bornite    Cu1.25 Fe.25 S
Cu       63.313
Fe       11.128
S        25.559
 
Graphite    C
