K-L3,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
,keV,0.1085,0.18505,0.28177,0.3924,0.5249,0.6768,0.8486,1.041,1.2536,1.4865,1.7397,2.0133,2.3072,2.6224,2.9577,3.3138,3.6917,4.0906,4.5109,4.9522,5.4147,5.8987,6.4039,6.9303,7.4781,8.0478,8.6389,9.2517,9.8864,10.5436,11.222,11.9238,12.6507,13.3953,14.165,14.9584,15.7753,16.6151,17.4793,18.3671,19.2793,20.2161,21.177,22.1629,23.1737,24.2098,25.2713,26.359,27.4724,28.6123,29.7792,30.9727,32.1936,33.4419,34.7196,36.0263,37.361,38.7247,40.118,41.5421,42.9963,44.4817,45.9984,47.5466,49.1276,50.7416,52.3887,54.0697,55.7901,57.5353,59.3182,61.1411,62.9999,64.8958,66.8311,68.8062,70.8184,72.8729,74.9693,77.1073,79.2912,81.5164,83.7846,86.1058,88.4776,90.884,93.3507,95.8679,98.4397
H,1,8634.04432,1664.51807,440.183248,151.540641,58.669026,25.39323,11.977955,6.048531,3.23844,1.821617,1.068847,0.650464,0.408763,0.263898,0.174799,0.118364,0.081687,0.057404,0.040997,0.029726,0.021851,0.016264,0.012249,0.009326,0.007171,0.005565,0.004357,0.003439,0.002734,0.002189,0.001765,0.001432,0.001167,0.000958,0.00079,0.000655,0.000545,0.000456,0.000383,0.000323,0.000273,0.000232,0.000198,0.000169,0.000145,0.000125,0.000108,0.000093,0.000081,0.00007,0.000061,0.000054,0.000047,0.000041,0.000036,0.000032,0.000028,0.000025,0.000022,0.00002,0.000018,0.000016,0.000014,0.000012,0.000011,0.00001,0.000009,0.000008,0.000007,0.000007,0.000006,0.000005,0.000005,0.000004,0.000004,0.000004,0.000003,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001
He,2,34637.52737,9001.235166,2897.292336,1134.13703,481.514465,222.227603,109.479914,56.721882,30.616868,17.292061,10.156786,6.174277,3.869312,2.488044,1.639856,1.10428,0.757385,0.528792,0.375091,0.270091,0.197137,0.145694,0.10895,0.082361,0.062891,0.048468,0.037684,0.029541,0.023335,0.018563,0.014872,0.011987,0.009712,0.007925,0.006497,0.005353,0.004432,0.003686,0.003079,0.002582,0.002175,0.001838,0.001559,0.001327,0.001133,0.000971,0.000834,0.000719,0.000621,0.000539,0.000468,0.000407,0.000356,0.000311,0.000273,0.00024,0.000211,0.000186,0.000165,0.000146,0.000129,0.000115,0.000102,0.000091,0.000081,0.000073,0.000065,0.000058,0.000052,0.000047,0.000042,0.000038,0.000034,0.000031,0.000028,0.000025,0.000023,0.000021,0.000019,0.000017,0.000016,0.000014,0.000013,0.000012,0.000011,0.00001,0.000009,0.000008,0.000008
Li,3,100774.9508,26268.04912,8314.427348,3259.760024,1407.139975,667.37249,340.787794,183.909732,102.343862,59.731316,36.336642,22.902732,14.889586,9.933378,6.781906,4.677483,3.27674,2.336559,1.692744,1.244512,0.927276,0.69931,0.533398,0.411136,0.319961,0.251198,0.198818,0.158332,0.12678,0.102195,0.082933,0.067684,0.055515,0.045837,0.038014,0.031672,0.026505,0.022278,0.018798,0.015924,0.013538,0.011549,0.009885,0.008488,0.00731,0.006314,0.005472,0.004757,0.004142,0.003615,0.003162,0.002771,0.002434,0.002143,0.00189,0.00167,0.001478,0.00131,0.001164,0.001036,0.000923,0.000823,0.000736,0.000659,0.00059,0.000529,0.000476,0.000428,0.000385,0.000347,0.000314,0.000283,0.000256,0.000232,0.00021,0.000191,0.000173,0.000157,0.000143,0.00013,0.000119,0.000108,0.000099,0.00009,0.000082,0.000075,0.000069,0.000063,0.000057
Be,4,4629.695573,54720.72596,18926.06031,7810.387657,3492.925417,1698.061387,884.542667,486.058988,277.252782,165.685187,103.017477,66.260747,43.450252,29.128938,19.985934,13.881532,9.797062,7.034007,5.128684,3.793821,2.843359,2.156416,1.653751,1.281338,1.002144,0.790569,0.628542,0.502264,0.403063,0.325598,0.264773,0.216526,0.17795,0.147208,0.122309,0.102087,0.085584,0.07206,0.060908,0.05168,0.044006,0.0376,0.032234,0.027719,0.023908,0.02068,0.017937,0.015597,0.013582,0.011854,0.010368,0.009089,0.007984,0.007029,0.006199,0.005477,0.004848,0.0043,0.003819,0.003398,0.003028,0.002702,0.002415,0.002161,0.001937,0.001739,0.001563,0.001407,0.001267,0.001144,0.001033,0.000934,0.000846,0.000766,0.000695,0.00063,0.000573,0.000521,0.000474,0.000431,0.000393,0.000358,0.000327,0.000299,0.000273,0.000249,0.000228,0.000209,0.000191
B,5,9971.042284,3148.895552,33723.39226,14705.91027,6808.746819,3401.077922,1807.287889,1006.376323,578.705644,348.41714,218.122063,141.201857,94.108943,64.275327,44.87139,31.638281,22.558238,16.278614,11.928096,8.865128,6.674207,5.083719,3.914185,3.043928,2.389333,1.891357,1.508638,1.208858,0.972205,0.787037,0.641332,0.525521,0.432725,0.358646,0.298542,0.249629,0.209639,0.176814,0.149703,0.127227,0.108509,0.092858,0.079728,0.068664,0.059312,0.051378,0.044626,0.038855,0.033873,0.029594,0.025907,0.022732,0.019987,0.01761,0.015544,0.013746,0.012179,0.010809,0.009609,0.008556,0.007631,0.006815,0.006096,0.00546,0.004897,0.004397,0.003954,0.003559,0.003207,0.002894,0.002615,0.002364,0.00214,0.001939,0.001758,0.001596,0.00145,0.001318,0.0012,0.001093,0.000997,0.00091,0.000832,0.000762,0.000698,0.00064,0.000587,0.000538,0.000494
C,6,19072.80059,5875.212451,2220.756613,24139.82881,11705.00173,6006.057366,3257.988003,1852.029274,1086.394087,659.840386,416.456261,271.627459,182.32274,125.352076,88.035659,62.278926,44.677725,32.586734,24.121761,18.10245,13.732968,10.483136,8.087137,6.301723,4.955965,3.930449,3.140878,2.521785,2.032674,1.649073,1.346603,1.105659,0.912243,0.757526,0.631752,0.529218,0.445242,0.376185,0.319033,0.271596,0.232016,0.198861,0.171014,0.147507,0.127604,0.110697,0.096289,0.083954,0.073253,0.064049,0.05611,0.049265,0.043346,0.038217,0.033756,0.02987,0.02648,0.023516,0.020919,0.018638,0.016631,0.014862,0.013301,0.01192,0.010697,0.009611,0.008647,0.007788,0.007021,0.00634,0.005731,0.005185,0.004695,0.004256,0.003862,0.003507,0.003188,0.0029,0.00264,0.002405,0.002193,0.002001,0.001828,0.001671,0.001527,0.001398,0.00128,0.001172,0.001075
N,7,30718.11167,9566.518587,3514.960254,1578.594662,16673.38905,8892.381513,4924.878364,2839.36573,1698.985218,1054.003829,671.767507,439.408438,295.743484,203.859873,143.519127,101.754325,73.147789,53.458566,39.6458,29.806913,22.68936,17.465814,13.587488,10.673394,8.453561,6.72301,5.38026,4.327699,3.496034,2.842382,2.325861,1.913558,1.581825,1.315984,1.099409,0.922582,0.777516,0.658011,0.558961,0.476595,0.40777,0.350035,0.301455,0.260401,0.225594,0.195976,0.170702,0.149027,0.130149,0.113888,0.099841,0.087722,0.077236,0.068142,0.060228,0.053329,0.047308,0.042041,0.037422,0.033361,0.029788,0.026636,0.023852,0.021389,0.019205,0.017265,0.015541,0.014006,0.012634,0.011416,0.010324,0.009345,0.008467,0.00768,0.006971,0.006334,0.00576,0.005243,0.004775,0.004353,0.00397,0.003624,0.003311,0.003025,0.002766,0.002531,0.002317,0.002123,0.001945
O,8,44323.39578,13696.28681,5037.548184,2286.5614,1120.430773,11863.61564,6753.957131,3961.860966,2387.099495,1495.863228,969.969445,648.055323,440.508087,304.608272,215.100786,153.020648,110.361659,80.910138,60.185301,45.379561,34.638586,26.735615,20.851356,16.419523,13.044777,10.446721,8.42708,6.826136,5.543497,4.520895,3.70503,3.052661,2.527081,2.10536,1.761393,1.480072,1.24898,1.058397,0.900219,0.768524,0.658342,0.565801,0.487846,0.421885,0.365899,0.318214,0.277478,0.242499,0.211951,0.185612,0.162836,0.143173,0.126146,0.111368,0.098498,0.087274,0.077473,0.068892,0.061361,0.054737,0.048904,0.043757,0.039207,0.035179,0.031605,0.02843,0.025607,0.023091,0.02084,0.01884,0.017048,0.01544,0.013998,0.012702,0.011537,0.010487,0.009543,0.00869,0.007919,0.007222,0.00659,0.006018,0.005499,0.005026,0.004597,0.004208,0.003853,0.00353,0.003236
