K-M3,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
,keV,###,###,###,###,###,###,0.85741,1.0672,1.2955,1.553,1.829,2.139163,2.464265,2.8156,3.1905,3.5896,4.0127,4.4605,4.9318,5.4273,5.9467,6.4904,7.058,7.6494,8.2647,8.9053,9.572,10.2642,10.9823,11.7262,12.4959,13.2922,14.1118,14.9612,15.8355,16.7381,17.6671,18.6226,19.6072,20.619,21.6566,22.7237,23.8188,24.9426,26.0947,27.2756,28.4857,29.7256,30.9951,32.2948,33.6244,34.987,36.3784,37.8012,39.2576,40.7484,42.2715,43.8271,45.4144,47.0384,48.6951,50.3844,52.1129,53.8765,55.6737,57.5051,59.3825,61.2902,63.2432,65.2224,67.244,69.3091,71.4136,73.5603,75.7494,77.9819,80.2552,82.5738,84.9381,87.349,89.8031,92.3039,94.866,97.474,100.1302,102.846,105.6049,108.4272,111.3026
H,1,###,###,###,###,###,###,11.572643,5.564913,2.898778,1.570717,0.901727,0.529054,0.326427,0.20691,0.134808,0.08995,0.061329,0.042614,0.030152,0.021677,0.015816,0.011695,0.008756,0.006632,0.005077,0.003923,0.003057,0.002402,0.001902,0.001517,0.001218,0.000984,0.0008,0.000654,0.000538,0.000444,0.000369,0.000308,0.000258,0.000217,0.000183,0.000155,0.000132,0.000113,0.000097,0.000083,0.000071,0.000062,0.000054,0.000047,0.000041,0.000035,0.000031,0.000027,0.000024,0.000021,0.000019,0.000016,0.000015,0.000013,0.000011,0.00001,0.000009,0.000008,0.000007,0.000007,0.000006,0.000005,0.000005,0.000004,0.000004,0.000003,0.000003,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
He,2,###,###,###,###,###,###,105.955681,52.259759,27.434923,14.918373,8.567868,5.016674,3.084056,1.945293,1.260132,0.835412,0.565662,0.390202,0.274044,0.195526,0.141582,0.103898,0.077199,0.058036,0.044101,0.03383,0.026176,0.020423,0.016058,0.012721,0.010147,0.008146,0.006585,0.00535,0.004372,0.003591,0.002964,0.002459,0.002048,0.001714,0.00144,0.001215,0.001029,0.000874,0.000745,0.000637,0.000547,0.000471,0.000406,0.000352,0.000305,0.000266,0.000232,0.000203,0.000177,0.000156,0.000137,0.000121,0.000107,0.000095,0.000084,0.000074,0.000066,0.000059,0.000053,0.000047,0.000042,0.000038,0.000034,0.000031,0.000028,0.000025,0.000022,0.00002,0.000018,0.000017,0.000015,0.000014,0.000012,0.000011,0.00001,0.000009,0.000009,0.000008,0.000007,0.000007,0.000006,0.000005,0.000005
Li,3,###,###,###,###,###,###,330.441521,170.20628,92.245063,52.016067,31.020156,18.908801,12.091514,7.934121,5.300074,3.594075,2.489415,1.756601,1.261559,0.9202,0.680878,0.510326,0.387125,0.296949,0.230119,0.179814,0.141275,0.111814,0.089152,0.071581,0.057852,0.047039,0.038496,0.031652,0.026169,0.021734,0.018137,0.015204,0.012794,0.01081,0.009171,0.007806,0.006668,0.005716,0.004919,0.004243,0.003669,0.003181,0.002765,0.002409,0.002104,0.001842,0.001616,0.001421,0.001252,0.001105,0.000977,0.000865,0.000768,0.000683,0.000608,0.000542,0.000484,0.000433,0.000388,0.000348,0.000313,0.000281,0.000253,0.000228,0.000206,0.000186,0.000168,0.000152,0.000138,0.000125,0.000114,0.000103,0.000094,0.000086,0.000078,0.000071,0.000065,0.000059,0.000054,0.00005,0.000045,0.000042,0.000038
Be,4,###,###,###,###,###,###,858.455591,450.916683,251.034245,145.167693,88.557828,55.017694,35.373371,23.3302,15.688917,10.725298,7.48468,5.318216,3.844745,2.822091,2.100701,1.583621,1.207943,0.93145,0.725495,0.569482,0.448661,0.355927,0.284427,0.228863,0.185365,0.151028,0.123845,0.102023,0.08451,0.070319,0.058787,0.049366,0.041613,0.035218,0.029926,0.025515,0.021828,0.018733,0.016128,0.013912,0.012032,0.010431,0.009067,0.007901,0.006902,0.006041,0.005301,0.004662,0.004107,0.003625,0.003205,0.00284,0.002521,0.002241,0.001995,0.00178,0.001591,0.001424,0.001276,0.001146,0.00103,0.000927,0.000835,0.000753,0.00068,0.000615,0.000557,0.000505,0.000458,0.000415,0.000378,0.000343,0.000313,0.000285,0.00026,0.000237,0.000216,0.000198,0.000181,0.000165,0.000151,0.000139,0.000127
B,5,###,###,###,###,###,###,1755.366008,934.61947,524.734559,305.84835,187.917801,117.87531,77.351905,52.014886,35.582944,24.662083,17.304839,12.361949,8.98225,6.62507,4.954387,3.750568,2.872081,2.223128,1.737838,1.368724,1.081031,0.859585,0.688445,0.555159,0.450575,0.36786,0.302253,0.249476,0.207034,0.172584,0.144542,0.121584,0.102665,0.087033,0.074077,0.063256,0.054199,0.046586,0.040167,0.03469,0.030033,0.026063,0.022677,0.019779,0.017294,0.015153,0.013309,0.011713,0.010328,0.009124,0.008075,0.00716,0.00636,0.005658,0.005043,0.004502,0.004024,0.003602,0.003229,0.0029,0.002606,0.002345,0.002113,0.001907,0.001723,0.001558,0.00141,0.001278,0.001159,0.001053,0.000958,0.000872,0.000796,0.000727,0.000665,0.000609,0.000557,0.00051,0.000468,0.000429,0.000394,0.000362,0.000332
C,6,###,###,###,###,###,###,3167.277736,1727.653303,986.759945,580.533417,359.716664,227.469195,150.369075,101.817547,69.982401,48.702718,34.571827,24.969859,18.33375,13.632766,10.218268,7.751651,5.948661,4.613895,3.613891,2.851862,2.257761,1.799449,1.444488,1.167361,0.94948,0.776787,0.639524,0.528896,0.439766,0.367275,0.308144,0.259675,0.219641,0.186512,0.159012,0.136001,0.116711,0.100474,0.086763,0.07501,0.064997,0.056445,0.049147,0.042898,0.037535,0.032909,0.028923,0.025473,0.022476,0.019867,0.017594,0.01561,0.013875,0.012352,0.011014,0.009839,0.008799,0.007881,0.00707,0.006351,0.005711,0.005143,0.004636,0.004186,0.003784,0.003423,0.0031,0.002811,0.002551,0.002317,0.002107,0.001918,0.001748,0.001593,0.001454,0.001328,0.001214,0.00111,0.001016,0.00093,0.000852,0.000781,0.000717
N,7,###,###,###,###,###,###,4791.553206,2652.832033,1550.141605,931.656436,580.820605,368.4181,244.235362,165.822925,114.257355,79.694302,56.694074,41.030844,30.185316,22.528769,17.0385,13.041737,10.094103,7.877951,6.184693,4.88864,3.878973,3.098803,2.493128,2.019244,1.645739,1.349106,1.112805,0.922027,0.768046,0.64258,0.540068,0.455873,0.386232,0.328501,0.280499,0.240285,0.206518,0.178047,0.15397,0.133249,0.115564,0.100435,0.087514,0.076442,0.066932,0.058725,0.051648,0.045518,0.040191,0.035549,0.031503,0.027968,0.024877,0.022159,0.019772,0.017672,0.015814,0.014172,0.012721,0.011435,0.010288,0.00927,0.00836,0.007554,0.006831,0.006184,0.005604,0.005083,0.004615,0.004194,0.003815,0.003473,0.003165,0.002885,0.002633,0.002405,0.002198,0.00201,0.001839,0.001684,0.001543,0.001414,0.001297
O,8,###,###,###,###,###,###,6579.85548,3703.478127,2181.683262,1326.142025,844.826119,546.891803,364.379033,248.208856,171.6245,120.134865,85.756456,62.266343,45.949809,34.395902,26.088182,20.02202,15.537444,12.180881,9.639448,7.682331,6.137304,4.924533,3.96942,3.219964,2.628399,2.157937,1.782682,1.479187,1.233886,1.033767,0.870024,0.735365,0.623832,0.531257,0.454186,0.389537,0.335192,0.28932,0.250483,0.216968,0.188327,0.163799,0.142834,0.124856,0.1094,0.096054,0.084539,0.074558,0.065876,0.058307,0.051704,0.045934,0.040882,0.036439,0.032534,0.029096,0.026053,0.023363,0.020983,0.018873,0.016988,0.015317,0.013822,0.012495,0.011306,0.01024,0.009285,0.008427,0.007655,0.00696,0.006334,0.005769,0.005257,0.004795,0.004377,0.003999,0.003655,0.003343,0.00306,0.002802,0.002568,0.002355,0.002161
