L3-M5,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
,keV,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,0.34067,0.395,0.452,0.511,0.5722,0.633156,0.7045,0.7757,0.8511,0.9295,1.0116,1.098,1.188,1.2819,1.3791,1.4809,1.586,1.6941,1.8065,1.9226,2.0423,2.1659,2.2932,2.424,2.5585,2.6968,2.8386,2.9844,3.1338,3.287,3.444,3.6047,3.7693,3.9377,4.1099,4.2864,4.4663,4.651,4.8401,5.0333,5.2302,5.4324,5.636,5.846,6.0576,6.2728,6.4952,6.7197,6.9486,7.1803,7.4158,7.6556,7.899,8.146,8.3976,8.6524,8.9108,9.1748,9.4421,9.713,9.989,10.2682,10.5512,10.839,11.1308,11.4268,11.727,12.0315,12.3395,12.652,12.9683,13.2913,13.6146
H,1,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,239.3431,148.325675,95.678456,64.068258,44.188543,31.653265,22.234238,16.152837,11.86109,8.838695,6.658286,5.057746,3.880961,3.003734,2.347168,1.845011,1.462761,1.169715,0.940461,0.760969,0.619548,0.507118,0.417343,0.34533,0.287134,0.239814,0.201226,0.169496,0.143361,0.121708,0.103695,0.088662,0.076052,0.06544,0.056482,0.048874,0.042424,0.036899,0.032166,0.028108,0.024625,0.021606,0.019032,0.016775,0.014839,0.013155,0.011665,0.010374,0.009241,0.008252,0.007382,0.006613,0.005936,0.005337,0.004805,0.004334,0.003915,0.003539,0.003205,0.002907,0.002639,0.002399,0.002184,0.00199,0.001816,0.001658,0.001516,0.001388,0.001272,0.001167,0.001071,0.000984,0.000906
He,2,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1700.598503,1112.600794,750.75075,521.849577,371.3099,272.802368,196.273973,145.33933,108.464372,81.920685,62.339338,47.561116,36.620262,28.418509,22.250452,17.512997,13.896528,11.115403,8.936336,7.227417,5.879614,4.807463,3.95116,3.264337,2.709539,2.258683,1.891197,1.589459,1.341314,1.135947,0.965348,0.823241,0.704258,0.60431,0.52013,0.448784,0.388424,0.33685,0.29276,0.25506,0.22279,0.194878,0.171138,0.150388,0.132633,0.117222,0.103626,0.091875,0.081594,0.072638,0.064786,0.057869,0.051788,0.046425,0.041673,0.037476,0.033756,0.03043,0.027478,0.02485,0.022494,0.020395,0.018516,0.016826,0.01531,0.013946,0.012718,0.011609,0.010611,0.009708,0.008892,0.008148,0.00748
Li,3,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4874.628114,3198.636688,2171.155037,1521.600109,1093.625144,812.399966,592.692994,445.394437,337.808414,259.565452,201.077771,155.574863,121.289748,95.373097,75.704284,60.447988,48.672006,39.518272,32.257577,26.494451,21.890588,18.181056,15.178777,12.737836,10.739021,9.092616,7.73265,6.587831,5.622714,4.804346,4.119587,3.544692,3.059608,2.649134,2.300593,2.002891,1.749094,1.530434,1.342059,1.179641,1.039509,0.917356,0.812599,0.720302,0.640653,0.571028,0.509084,0.45515,0.407579,0.365815,0.328905,0.296157,0.267132,0.241356,0.218334,0.197794,0.179447,0.162821,0.14789,0.134522,0.122471,0.111668,0.101949,0.093162,0.085231,0.078058,0.071564,0.065676,0.060345,0.055496,0.051091,0.047049,0.04341
Be,4,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,11444.82157,7670.685829,5298.639206,3766.37094,2738.839733,2054.419037,1513.531534,1147.047098,877.03285,679.037465,529.973019,413.776241,326.137594,259.168091,207.820631,167.585514,136.234129,111.62576,91.932501,76.162447,63.458673,52.926331,44.284017,37.240686,31.461813,26.691926,22.745006,19.423433,16.623793,14.250197,12.258462,10.580963,9.160867,7.954945,6.927868,6.048015,5.295943,4.646267,4.085045,3.599907,3.18027,2.813542,2.498259,2.219836,1.979,1.767999,1.579844,1.415634,1.270469,1.142728,1.029593,0.929015,0.839688,0.760198,0.689061,0.625361,0.568341,0.516359,0.469456,0.427424,0.389496,0.355467,0.324821,0.297089,0.272036,0.24936,0.228811,0.210166,0.19327,0.177889,0.163903,0.151062,0.139489
B,5,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,21112.87856,14455.08527,10152.20273,7319.597498,5390.232766,4087.190824,3043.306655,2326.861254,1792.34505,1396.529586,1095.940178,858.701571,679.149282,541.486511,435.589485,352.35496,287.286879,236.073986,194.972727,161.972281,135.316034,113.59438,95.829765,81.24098,69.173977,59.138381,50.770119,43.662002,37.616069,32.444489,28.070072,24.335134,21.114592,18.374853,16.036832,14.030193,12.310976,10.822683,9.534599,8.418894,7.451915,6.605316,5.876134,5.230875,4.671682,4.180495,3.741752,3.358129,3.018487,2.71926,2.453821,2.217401,2.007117,1.819732,1.651797,1.501108,1.366018,1.242449,1.13064,1.030354,0.939805,0.858486,0.785178,0.718781,0.658746,0.604361,0.555035,0.510233,0.469598,0.432579,0.398894,0.367942,0.340026
C,6,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,33364.762,23759.38977,17101.18718,12542.56878,9358.331068,7171.138929,5394.510441,4160.935257,3231.89054,2537.171624,2006.526327,1594.49228,1271.430557,1017.70347,821.757452,667.168504,545.894463,450.11301,372.983505,310.84391,260.497403,219.350152,185.597851,157.795654,134.731813,115.502545,99.422924,85.691508,73.950319,63.853914,55.317586,48.07797,41.908773,36.637348,32.118406,28.222326,24.870268,21.956193,19.423258,17.220404,15.303642,13.592482,12.104664,10.784452,9.639146,8.633012,7.733576,6.946726,6.249464,5.634549,5.088636,4.602106,4.169009,3.782785,3.436375,3.125329,2.846271,2.591116,2.360263,2.152986,1.965606,1.797172,1.645216,1.507467,1.382794,1.269733,1.167103,1.073821,0.989145,0.911939,0.841623,0.776958,0.718587
N,7,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2223.108622,1553.552619,23476.95344,17770.02876,13542.37105,10532.1423,8021.349445,6244.01239,4886.531344,3860.884423,3070.683088,2452.858604,1972.886762,1596.440452,1301.192466,1065.245438,878.021276,725.636108,602.094652,502.398111,421.520334,355.358543,301.020384,256.210488,219.005861,187.946905,161.949646,139.722434,120.694018,104.311339,90.44685,78.678402,68.642043,60.059183,52.694994,46.339964,40.868217,36.107822,31.96733,28.363461,25.225074,22.464196,20.07515,17.951507,16.102972,14.473888,13.012307,11.728918,10.587716,9.57779,8.676657,7.858103,7.128431,6.471938,5.882699,5.353819,4.879127,4.445451,4.053241,3.700764,3.381854,3.094923,2.835803,2.600693,2.387718,2.194419,2.018801,1.858993,1.713797,1.581302,1.460543,1.3494,1.248981
O,8,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,3201.713745,2250.989238,1631.674622,1198.947226,17434.46678,13896.57731,10758.58893,8470.440955,6703.905623,5349.514456,4282.100612,3427.420666,2764.902627,2245.617102,1837.955962,1511.453003,1251.580105,1043.704766,874.187681,736.065816,622.946868,527.925052,448.300335,382.090068,327.04055,281.02477,242.460058,209.464249,181.193848,156.827119,136.173414,118.618789,103.630005,90.794026,79.766014,70.237025,62.022031,54.866066,48.634322,43.203539,38.468452,34.298316,30.685744,27.471302,24.670115,22.197737,19.977298,18.025975,16.289095,14.750815,13.379153,12.151061,11.053265,10.070511,9.185464,8.387086,7.667895,7.006553,6.405074,5.861992,5.365721,4.918479,4.510511,4.139326,3.802827,3.497152,3.219262,2.966262,2.736259,2.526252,2.334757,2.158404,1.998988
