L2-M4,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
,keV,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,0.34418,0.4,0.458,0.5183,0.5814,0.644138,0.7175,0.7907,0.8683,0.9494,1.0347,1.1249,1.2191,1.3174,1.4195,1.5259,1.6383,1.7521,1.8718,1.9959,2.1243,2.2573,2.3948,2.5368,2.6833,2.8344,2.9903,3.1509,3.3165,3.4872,3.6628,3.8435,4.0295,4.2208,4.4183,4.6199,4.8275,5.0421,5.2629,5.4893,5.722,5.9613,6.2058,6.4565,6.7131,6.9766,7.2481,7.5263,7.811,8.1023,8.4019,8.7092,9.023,9.3429,9.6724,10.0098,10.3542,10.708,11.0707,11.4425,11.8238,12.2128,12.6144,13.0235,13.4463,13.876,14.3156,14.7703,15.2359,15.713,16.2024,16.7025,17.22
H,1,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,231.56853,142.389322,91.64703,61.156168,41.930091,29.90468,20.927331,15.155845,11.09593,8.234128,6.172886,4.662847,3.557782,2.739389,2.128986,1.667206,1.310398,1.043374,0.833516,0.669976,0.54178,0.440437,0.359931,0.295621,0.243966,0.202249,0.168352,0.14071,0.118034,0.099351,0.083923,0.071122,0.060454,0.051538,0.044032,0.037762,0.032456,0.027939,0.024102,0.020844,0.018063,0.015682,0.013652,0.011908,0.010409,0.009114,0.007988,0.007014,0.00617,0.005437,0.004796,0.004237,0.003749,0.003324,0.002949,0.00262,0.002331,0.002076,0.00185,0.001651,0.001474,0.001318,0.001179,0.001056,0.000946,0.000848,0.000762,0.000684,0.000615,0.000553,0.000497,0.000448,0.000403
He,2,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1651.860761,1072.700328,722.088828,500.143993,353.823112,258.764894,185.458152,136.844074,101.802754,76.533987,57.868264,43.897847,33.605305,25.93865,20.193903,15.831458,12.450883,9.914626,7.918217,6.360273,5.138076,4.1715,3.403652,2.790464,2.298211,1.90093,1.578593,1.316139,1.101153,0.924258,0.778484,0.657801,0.557444,0.473739,0.40346,0.344895,0.295459,0.253494,0.217948,0.187839,0.162223,0.14036,0.121762,0.105842,0.092195,0.08044,0.070258,0.061474,0.053887,0.04732,0.041597,0.036615,0.032289,0.028529,0.025223,0.022329,0.019799,0.01757,0.015607,0.013878,0.012351,0.011008,0.009812,0.008759,0.007818,0.006991,0.006258,0.005599,0.005015,0.004494,0.00403,0.003618,0.003247
Li,3,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4735.241656,3085.35944,2089.926767,1460.014859,1043.731903,772.237582,561.468297,420.709328,318.223961,243.595388,187.420598,144.120046,111.778674,87.485756,69.102678,54.991885,43.929622,35.53014,28.833782,23.539725,19.330001,15.954918,13.23525,11.032103,9.238017,7.768933,6.545929,5.522776,4.664945,3.953775,3.362726,2.86921,2.455371,2.107323,1.812502,1.564651,1.353638,1.17287,1.018375,0.88639,0.773038,0.675398,0.591599,0.51921,0.456627,0.402212,0.354658,0.313257,0.277179,0.245672,0.217966,0.193558,0.172171,0.153215,0.136423,0.12162,0.108591,0.097034,0.08679,0.0777,0.069621,0.062467,0.056052,0.050369,0.045257,0.040731,0.036691,0.033043,0.029781,0.026858,0.024236,0.02189,0.019763
Be,4,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,11134.96881,7411.441833,5108.451183,3619.376037,2618.085413,1955.96113,1436.156181,1085.291073,827.619662,638.430402,495.049325,384.599142,301.644787,238.637247,190.459653,153.096146,123.513357,100.830324,82.580285,68.021424,56.227654,46.520776,38.676999,32.30994,27.113568,22.850409,19.301952,16.334336,13.845087,11.775219,10.048757,8.601999,7.384364,6.356938,5.484026,4.748053,4.119586,3.579653,3.116889,2.720421,2.378999,2.084129,1.830391,1.610633,1.420134,1.25407,1.108554,0.981562,0.87063,0.773521,0.687923,0.612207,0.545699,0.486189,0.433402,0.386819,0.34577,0.309313,0.276965,0.248227,0.222658,0.199998,0.179654,0.161611,0.145364,0.130963,0.118093,0.106462,0.09605,0.086714,0.078328,0.070817,0.064002
B,5,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,20575.0299,13989.03096,9802.928543,7045.200937,5161.605458,3898.139615,2892.816631,2205.075315,1693.938795,1314.929514,1024.721472,798.99286,628.850405,499.185972,399.705448,322.307787,260.831483,213.557503,175.412984,144.89833,120.348653,100.438862,84.226222,70.950735,60.028668,50.994431,43.400619,36.987073,31.558534,27.004237,23.128989,19.845537,17.076456,14.735233,12.741302,11.056041,9.613951,8.372266,7.305697,6.390088,5.599898,4.915908,4.325822,3.813608,3.36865,2.980099,2.639127,2.340961,2.079991,1.851158,1.649107,1.46996,1.312326,1.17054,1.044621,0.933409,0.835298,0.748056,0.67056,0.601642,0.540255,0.485784,0.436827,0.39337,0.3542,0.319445,0.288355,0.26022,0.235009,0.212381,0.192034,0.173795,0.157231
C,6,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,32627.74835,23050.96879,16545.18017,12093.23435,8977.08188,6850.943847,5136.508468,3950.016088,3059.852407,2392.836714,1883.739684,1489.311639,1178.819738,939.527597,755.179431,611.219021,496.456689,407.890975,336.177287,278.61333,232.157675,194.364993,163.492098,138.131192,117.210614,99.85452,85.184766,72.722924,62.123119,53.236821,45.770827,39.469923,34.130429,29.593176,25.71062,22.413962,19.579607,17.128149,15.01312,13.153492,11.539809,10.139454,8.930786,7.880904,6.968315,6.170604,5.469786,4.85643,4.319138,3.847579,3.430825,3.061004,2.735296,2.442671,2.182493,1.952363,1.749118,1.568219,1.407342,1.26408,1.136335,1.022881,0.920801,0.830086,0.748229,0.675521,0.610409,0.551433,0.498533,0.451004,0.408223,0.369825,0.334912
N,7,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2168.672585,1506.872822,22797.49432,17183.41665,13025.52989,10083.29909,7652.417051,5937.11595,4633.521474,3646.505539,2886.877751,2294.636398,1836.462359,1479.164057,1199.892136,979.073201,799.554203,658.044191,543.058252,450.63356,375.958071,315.143095,265.393113,224.492922,190.707118,162.647796,138.901603,118.703203,101.501347,87.065342,74.926035,64.672017,55.974793,48.576588,42.240353,36.855829,32.223004,28.21246,24.749184,21.760152,19.167186,16.911281,14.956641,13.252106,11.764191,10.458383,9.306599,8.28613,7.38148,6.582113,5.873256,5.244428,4.690259,4.193292,3.750957,3.359305,3.013008,2.70441,2.429664,2.184749,1.966116,1.771659,1.596516,1.44072,1.299994,1.174824,1.062617,0.960916,0.869607,0.787479,0.713477,0.646997,0.586497
O,8,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,3124.375421,2184.760441,1578.619836,1156.776002,16841.26851,13343.95883,10288.15023,8071.961778,6373.186277,5062.062116,4027.65293,3208.829109,2576.550015,2083.740375,1697.900152,1391.973164,1144.585127,951.14489,792.553456,663.785533,557.835538,469.149262,395.666269,335.164015,285.116664,243.496351,208.245459,178.234671,152.644004,131.131293,113.017221,97.694869,84.679309,73.592122,64.083064,55.991085,49.019356,42.97584,37.749945,33.234128,29.311821,25.895397,22.930661,20.341709,18.079635,16.092189,14.337465,12.793667,11.434324,10.235663,9.171256,8.221553,7.38109,6.620033,5.940026,5.3306,4.790119,4.303102,3.869134,3.481854,3.135865,2.827934,2.55037,2.303312,2.079974,1.881219,1.70291,1.541102,1.395702,1.264857,1.146885,1.040817,0.944212
