M5-N7,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
,keV,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,0.7124,0.7641,0.8173,0.8455,0.8936,0.9402,0.9894,1.0428,1.0991,1.176676,1.2326,1.2907,1.3477,1.405,1.4624,1.5215,1.5816,1.6446,1.7101,1.7756,1.8423,1.9138,1.9799,2.0505,2.1229,2.1964,2.2708,2.3459,2.4222,2.513638,2.596123,2.679812,2.760837,2.806,2.923933,2.9968,3.0823,3.1708
H,1,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,21.428064,16.982917,13.576283,12.124955,10.081444,8.506846,7.172076,6.013599,5.040764,4.008063,3.42817,2.93527,2.536958,2.204185,1.925114,1.68359,1.476588,1.293454,1.132994,0.997214,0.879781,0.772933,0.688592,0.611152,0.543,0.483509,0.431563,0.3862,0.346207,0.305033,0.273148,0.245054,0.221303,0.209344,0.181815,0.167104,0.151743,0.137703
He,2,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,189.613295,152.388125,123.321248,110.756633,92.898105,78.969193,67.0197,56.39979,47.403672,37.805174,32.392824,27.776944,24.035647,20.903514,18.269424,15.986484,14.027418,12.290046,10.766587,9.475825,8.35884,7.341335,6.537744,5.799606,5.149706,4.582357,4.086825,3.654165,3.272709,2.880137,2.576192,2.308569,2.082357,1.968461,1.706579,1.566732,1.420888,1.287602
Li,3,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,573.458729,465.823554,381.244128,344.531147,292.032406,250.815005,215.234345,182.922606,155.083399,125.016915,107.955692,93.333436,81.419702,71.381463,62.897577,55.496026,49.101204,43.4001,38.361685,34.0652,30.318049,26.881311,24.146206,21.61511,19.370308,17.395228,15.657057,14.127014,12.76778,11.356627,10.254703,9.276081,8.442428,8.020257,7.038216,6.50017,5.935457,5.409369
Be,4,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1465.892552,1198.079228,986.334609,893.975454,761.385508,656.796102,566.126298,483.530289,412.526395,335.712348,291.772563,253.8657,222.794883,196.460888,174.073457,154.437423,137.382196,122.089279,108.499905,96.851934,86.640347,77.225436,69.695814,62.695048,56.343426,50.666868,45.662528,41.250755,37.327169,33.248709,30.059652,27.223936,24.805825,23.580336,20.728401,19.16927,17.530533,16.005737
B,5,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2950.70973,2427.334842,2009.509021,1826.052288,1561.573826,1351.856224,1169.302663,1001.215536,856.145132,698.797185,608.562465,530.566922,466.507775,412.114173,365.794307,325.091052,289.673194,257.867544,229.557714,205.250956,183.907884,164.19958,148.41235,133.711368,120.585181,108.9607,98.671595,89.561884,81.420876,72.91521,66.231787,60.261599,55.147327,52.546504,46.465479,43.115056,39.580894,36.272479
C,6,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,5235.846449,4334.672142,3610.519108,3290.75021,2827.648135,2458.23523,2134.439146,1843.102375,1589.997107,1307.574067,1141.441035,997.535178,879.04751,778.213012,692.168015,616.405183,550.349869,490.912652,437.901461,392.295734,352.171318,315.0444,285.251519,257.461547,232.60595,210.55605,191.004255,173.663578,158.139033,141.888865,129.099681,117.657432,107.839216,102.839942,91.124298,84.631106,77.77512,71.328307
N,7,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,7794.73337,6496.378856,5442.047014,4973.006216,4290.831541,3743.721053,3261.74668,2825.987178,2446.10156,2025.985909,1780.941973,1566.271521,1387.895409,1235.025721,1103.559329,987.078454,884.926803,790.715285,706.118712,633.052404,568.718059,509.141396,461.298286,416.640269,376.678927,341.209326,309.729898,281.78867,256.764079,230.556157,209.912241,191.429123,175.560167,167.476447,148.520613,138.004735,126.895522,116.440901
O,8,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,10470.10439,8797.464538,7427.224728,6816.748143,5920.618391,5192.748469,4543.734118,3943.333613,3418.088926,2838.158324,2500.061855,2203.960953,1957.77792,1746.469626,1564.558552,1403.079601,1261.185961,1132.54698,1017.005509,916.811884,828.092139,745.449323,678.712566,616.087993,558.881554,507.358409,461.158887,419.895633,382.908649,344.138668,313.573897,286.186923,262.656064,250.662696,222.523775,206.913688,190.410421,174.871352
