M4-N6,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
,keV,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,0.7168,0.757,0.8162,0.8154,0.9476,0.9965,1.0475,1.1005,1.157688,1.207921,1.2656,1.3283,1.3878,1.449,1.5093,1.57,1.6325,1.6993,1.7682,1.8351,1.9083,1.9845,2.0527,2.1276,2.2047,2.2827,2.3623,2.4427,2.5257,2.622656,2.711624,2.801869,2.889712,2.9495,3.066256,3.1464,3.24,3.3363
H,1,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,20.995237,17.517351,13.637241,13.681798,8.286582,7.002509,5.923615,5.019258,4.233557,3.669786,3.136114,2.664235,2.297861,1.985968,1.730122,1.513861,1.326252,1.157622,1.011459,0.891575,0.780535,0.683172,0.608924,0.538921,0.477331,0.423932,0.377125,0.33638,0.300084,0.26381,0.235358,0.210402,0.189299,0.17647,0.154482,0.141401,0.127872,0.115647
He,2,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,186.024008,156.893565,123.844651,124.227147,77.002613,65.495785,55.569936,47.204269,39.906272,34.650546,29.658632,25.232269,21.786489,18.843964,16.426746,14.380238,12.601374,11.000596,9.61124,8.471168,7.413715,6.486072,5.77838,5.110797,4.523466,4.014018,3.567653,3.178966,2.832982,2.487204,2.216281,1.97854,1.777747,1.655746,1.446879,1.322705,1.194361,1.078525
Li,3,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,563.09711,478.909763,382.775775,383.894867,244.985907,210.667339,180.377896,154.46085,131.611862,115.080628,99.308792,85.23714,74.214679,64.754037,56.926074,50.256863,44.424662,39.137436,34.517779,30.695508,27.126881,23.969757,21.541978,19.235426,17.189146,15.40054,13.819366,12.432155,11.18608,9.930314,8.936405,8.057702,7.308449,6.84301,6.036381,5.548849,5.03787,4.574325
Be,4,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1440.199627,1230.732191,990.18054,992.990269,641.968902,554.458169,477.009614,410.942938,352.623657,310.157951,269.385564,232.770496,203.909861,178.983052,158.239178,140.471296,124.844023,110.596854,98.081807,87.671443,77.899849,69.20886,62.492255,55.956003,50.07412,44.923252,40.363005,36.357677,32.755401,29.120059,26.238845,23.689062,21.512249,20.162978,17.823588,16.409865,14.928301,13.581711
B,5,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2900.699647,2491.340708,2017.119828,2022.679535,1322.04606,1145.762474,987.905792,852.906165,733.480563,646.339616,562.519006,487.088323,427.509476,375.959361,332.978156,296.092637,263.600558,233.929409,207.819346,186.064315,165.612456,147.390515,133.285177,119.793569,107.743561,97.148066,87.723449,79.403086,71.883236,64.256648,58.180981,52.7775,48.142998,45.251735,40.213914,37.151241,33.925226,30.980731
C,6,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,5150.049511,4445.205528,3623.750579,3633.415169,2405.444101,2092.592634,1820.066951,1584.300771,1371.33405,1211.034956,1056.530247,917.145729,806.774248,711.066216,631.097353,562.332244,501.635246,446.094713,397.118942,356.22936,317.708451,283.321498,256.655132,231.105604,208.245009,188.10618,170.160405,154.286793,139.915113,125.316288,113.665212,103.284132,94.365606,88.772719,79.003659,73.043289,66.745888,60.996126
N,7,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,7671.8824,6656.156333,5461.368036,5475.479192,3665.251495,3199.333553,2791.457727,2437.538326,2119.470485,1883.980092,1654.441495,1445.418483,1278.474809,1132.486133,1009.743813,903.488539,807.809529,719.223409,640.782433,575.227269,513.417836,458.197741,415.343914,374.266234,337.49031,305.061415,276.141774,250.553069,227.371531,203.802069,184.977492,168.194801,153.767339,144.712764,128.886664,119.22285,109.005478,99.671283
O,8,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,10313.16058,9004.150416,7452.433713,7470.842683,5087.270595,4459.479747,3895.512275,3406.262335,2967.058532,2642.17842,2325.661983,2037.186673,1806.53333,1604.625147,1434.513685,1286.997159,1155.82258,1034.929985,927.438365,837.094495,751.396915,674.374614,614.265317,555.380379,501.949536,454.266821,411.552233,373.723723,339.425115,304.522634,276.622174,251.728674,230.311827,216.872552,193.369343,179.00713,163.812592,149.918638
