1	"H"	0.07	0.086	31
2	"He"	0.125	0.214	28
3	"Li"	0.512	0.535	128
4	"Be"	1.69	1.848	96
5	"B"	2.08	2.46	84
6	"C"	1.2	2.267	76
7	"N"	0.8081	1.026	71
8	"O"	1.149	1.426	66
9	"F"	1.505	1.696	57
10	"Ne"	1.204	1.444	58
11	"Na"	0.927	0.968	166
12	"Mg"	1.584	1.738	141
13	"Al"	2.375	2.7	121
14	"Si"	2.57	2.33	111
15	"P"	1.823	1.823	107
16	"S"	1.819	1.96	105
17	"Cl"	1.5625	1.655	102
18	"Ar"	1.40	1.65	106
19	"K"	0.828	0.856	203
20	"Ca"	1.378	1.55	176
21	"Sc"	2.8	2.985	170
22	"Ti"	4.11	4.507	160
23	"V"	5.5	6.11	153
24	"Cr"	6.3	7.14	139
25	"Mn"	5.95	7.47	139
26	"Fe"	6.98	7.874	132
27	"Co"	7.75	8.9	126
28	"Ni"	7.81	8.908	124
29	"Cu"	8.02	8.92	132
30	"Zn"	6.57	7.14	122
31	"Ga"	6.095	5.904	122
32	"Ge"	5.6	5.323	120
33	"As"	5.22	5.727	119
34	"Se"	3.99	4.819	120
35	"Br"	3.12	4.05	120
36	"Kr"	2.155	2.893	116
37	"Rb"	1.46	1.532	220
38	"Sr"	6.98	2.63	195
39	"Y"	4.24	4.472	190
40	"Zr"	5.8	6.511	175
41	"Nb"	8.57	8.57	164
42	"Mo"	9.33	10.28	154
43	"Tc"	11.5	11.5	147
44	"Ru"	10.65	12.37	146
45	"Rh"	10.7	12.45	142
46	"Pd"	10.38	12.023	139
47	"Ag"	9.32	10.49	145
48	"Cd"	7.996	8.65	144
49	"In"	7.02	7.31	142
50	"Sn"	6.99	7.31	139
51	"Sb"	6.53	6.697	139
52	"Te"	5.7	6.24	138
53	"I"	3.96	4.94	139
54	"Xe"	3.1	3.64	140
55	"Cs"	1.843	1.879	244
56	"Ba"	3.338	3.51	215
57	"La"	5.94	6.146	207
58	"Ce"	6.55	6.689	204
59	"Pr"	6.5	6.64	203
60	"Nd"	6.89	6.8	201
61	"Pm"	6.475	7.264	199
62	"Sm"	7.16	7.357	198
63	"Eu"	5.13	5.244	198
64	"Gd"	7.4	7.901	196
65	"Tb"	7.65	6.219	194
66	"Dy"	8.37	8.551	192
67	"Ho"	8.34	8.795	192
68	"Er"	8.86	9.066	189
69	"Tm"	8.56	9.321	190
70	"Yb"	6.21	6.57	187
71	"Lu"	9.3	9.841	187
72	"Hf"	12	13.31	175
73	"Ta"	15	16.65	170
74	"W"	17.6	19.25	162
75	"Re"	18.9	21.02	151
76	"Os"	20	22.61	144
77	"Ir"	19	22.65	141
78	"Pt"	19.77	21.09	136
79	"Au"	17.31	19.3	136
80	"Hg"	13.534	15.6	132
81	"Tl"	11.22	11.85	145
82	"Pb"	10.66	11.34	146
83	"Bi"	10.05	9.78	148
84	"Po"	9.196	9.196	140
85	"At"	6.4	6.4	150
86	"Rn"	4.4	4.4	150
87	"Fr"	2.9	2.9	260
88	"Ra"	5	5	221
89	"Ac"	10.07	10.07	215
90	"Th"	11.724	11.724	206
91	"Pa"	15.37	15.37	200
92	"U"	17.3	19.05	196
93	"Np"	20.45	20.45	190
94	"Pu"	16.63	19.816	187
95	"Am"	13.67	13.67	180
96	"Cm"	13.51	13.51	169
97	"Bk"	14.78	14.78	167
98	"Cf"	15.1	15.1	184
99	"Es"	13.5	13.5	285
100	"Fm"	8.84	8.84	291
