"Jump ratios as computed from the Chantler 2005",,,,"http://physics.nist.gov/PhysRefData/FFast/Text/cover.html"
,,,,,,,,,,,,,,,,"Springer 1967"
,,"K","L1","L2","L3","M1","M2","M3","M4","M5",,"All K","All L","All M",,"All K","All L","All M"
"H",1,,,,,,,,,,,1,1,1,,12.9132,2.20114,2
"He",2,,,,,,,,,,,1,1,1,,12.6775,2.19," "
"Li",3,48.3369,,,,,,,,,,48.3369,1,1,,12.4502,2.17898,2
"Be",4,38.5279,,,,,,,,,,38.5279,1,1,,12.2309,2.16807,2
"B",5,26.8689,1.24508,,,,,,,,,26.8689,1.24508,1,,12.0192,2.15726,2
"C",6,22.0932,1.10201,,,,,,,,,22.0932,1.10201,1,,11.8147,2.14657,2
"N",7,20.0421,1.05658,,,,,,,,,20.0421,1.05658,1,,11.6171,2.13598,2
"O",8,18.5801,1.03311,,,,,,,,,18.5801,1.03311,1,,11.426,2.12549,2
"F",9,17.4294,1.02493,,,,,,,,,17.4294,1.02493,1,,11.241,2.1151,2
"Ne",10,15.8185,1.01845,,,,,,,,,15.8185,1.01845,1,,11.0619,2.10482,2
"Na",11,11.4753,1.03726,,,,,,,,,11.4753,1.03726,1,,10.8885,2.09464,2
"Mg",12,13.0266,1.07137,,,,,,,,,13.0266,1.07137,1,,10.7204,2.08455,2
"Al",13,12.275,1.09514,,22.5121,,,,,,,12.275,24.653901194,1,,10.5574,2.07456,2
"Si",14,11.7734,1.09683,,19.6349,,,,,,,11.7734,21.536147367,1,,10.3993,2.06467,2
"P",15,11.3194,1.09908,,19.7742,,3.00974,,,,,11.3194,21.733427736,3.00974,,10.2459,2.05486,2
"S",16,10.7921,1.10181,,17.906,,1.9987,,,,,10.7921,19.72900986,1.9987,,10.0969,2.04516,2
"Cl",17,10.1703,1.1,1.43682,11.0974,,,,,,,10.1703,17.5394628948,1,,9.95223,2.03554,2
"Ar",18,9.75281,1.10125,1.43047,10.1275,,,,,,,9.75281,15.9539022736563,1,,9.81162,2.02601,2
"K",19,9.5623,1.11498,1.42409,8.3431,1.01741,,,,,,9.5623,13.2474400595794,1.01741,,9.67492,2.01658,2
"Ca",20,9.44142,1.11468,1.41867,7.66201,1.33372,,,,,,9.44142,12.116419698878,1.33372,,9.54198,2.00723,2
"Sc",21,9.24907,1.11768,1.41603,7.35732,1.43097,,,,,,9.24907,11.6441979492041,1.43097,,9.41265,1.99796,2
"Ti",22,9.06408,1.12059,1.41571,7.24266,1.45376,,,,,,9.06408,11.4899764998833,1.45376,,9.28678,1.98878,2
"V",23,8.87859,1.12079,1.41262,6.8839,1.11345,,2.10849,,,,8.87859,10.8989372206662,2.3476981905,,9.16422,1.97969,2
"Cr",24,8.65832,1.11854,1.4181,6.88545,1.076,,2.28165,,,,8.65832,10.9217116276983,2.4550554,,9.04486,1.97068,2
"Mn",25,8.45794,1.12184,1.41735,6.4559,1.06879,,1.47951,4.86656,,,8.45794,10.2651387453516,7.69542072832742,,8.92857,1.96175,2
"Fe",26,8.23916,1.12325,1.41939,6.3305,1.06003,,1.33901,,,,8.23916,10.0929049096838,1.4193907703,,8.81523,1.9529,2
"Co",27,8.02538,1.11783,1.42164,6.147,1.05936,,1.25598,,,,8.02538,9.7685163678564,1.3305349728,,8.70474,1.94413,2
"Ni",28,7.80729,1.12019,1.41371,5.91126,1.04975,,1.19228,,,,7.80729,9.36121205295317,1.25159593,,8.59697,1.93543,2
"Cu",29,7.59714,1.10063,1.41022,6.14725,1.0574,,1.46612,,,,7.59714,9.54133383868385,1.550275288,,8.49185,1.92682,2
