X-ray Line energies in ev from Waldo program (reordered), Handbook of Chemistry and Physics, orig ref Bearden and Burr
 Symbol    Ka      Kb     La1     Lb1     Lb2     Lb3     Lb4     Lg1    Lg2,3     Ma      Mb      Mg
H              0       0       0       0       0       0       0       0       0       0       0       0
He             0       0       0       0       0       0       0       0       0       0       0       0
Li             0       0       0       0       0       0       0       0       0       0       0       0
Be           100     100       0       0       0       0       0       0       0       0       0       0
B            183     183       0       0       0       0       0       0       0       0       0       0
C            277     277       0       0       0       0       0       0       0       0       0       0
N            392     392       0       0       0       0       0       0       0       0       0       0
O            525     525       0       0       0       0       0       0       0       0       0       0
F            677     677       0       0       0       0       0       0       0       0       0       0
Ne           849     858       0       0       0       0       0       0       0       0       0       0
Na          1041    1071       0       0       0       0       0       0       0       0       0       0
Mg          1254    1302       0       0       0       0       0       0       0       0       0       0
Al          1487    1557       0       0       0       0       0       0       0       0       0       0
Si          1740    1836       0       0       0       0       0       0       0       0       0       0
P           2014    2139       0       0       0       0       0       0       0       0       0       0
S           2308    2464       0       0       0       0       0       0       0       0       0       0
Cl          2622    2816       0       0       0       0       0       0       0       0       0       0
Ar          2958    3191       0       0       0       0       0       0       0       0       0       0
K           3314    3590       0       0       0       0       0       0       0       0       0       0
Ca          3692    4013     341     341     341     341     341     341     341       0       0       0
Sc          4091    4461     395     400     395     400     400     400     400       0       0       0
Ti          4511    4932     452     458     452     458     458     458     458       0       0       0
V           4952    5427     511     519     511     519     519     519     519       0       0       0
Cr          5415    5947     573     583     573     585     585     583     585       0       0       0
Mn          5899    6490     637     649     637     654     654     649     654       0       0       0
Fe          6403    7058     705     719     705     721     721     719     721       0       0       0
Co          6930    7649     776     791     776     792     792     791     792       0       0       0
Ni          7478    8265     852     869     852     941     941     869     941       0       0       0
Cu          8048    8905     930     950     930    1023    1023     950    1023       0       0       0
Zn          8639    9572    1012    1035    1012    1107    1107    1035    1107       0       0       0
Ga          9252   10264    1098    1125    1098    1197    1197    1125    1197       0       0       0
Ge          9886   10982    1188    1219    1188    1294    1286    1219    1294       0       0       0
As         10544   11726    1282    1317    1282    1388    1388    1317    1388       0       0       0
Se         11222   12496    1379    1419    1379    1490    1490    1419    1490       0       0       0
Br         11924   13291    1480    1526    1480    1596    1596    1526    1596       0       0       0
Kr         12649   14112    1586    1637    1586    1697    1697    1637    1707       0       0       0
Rb         13395   14961    1694    1752    1694    1827    1818    1752    2051       0       0       0
Sr         14165   15836    1807    1872    1807    1947    1936    1872    2197       0       0       0
Y          14958   16738    1923    1996    1923    2072    2060    1996    2347       0       0       0
Zr         15775   17668    2042    2124    2042    2201    2187    2124    2503       0       0       0
Nb         16615   18623    2166    2257    2367    2335    2319    2462    2664       0       0       0
Mo         17479   19608    2293    2395    2518    2473    2456    2624    2831       0       0       0
Tc         18367   20619    2424    2537    2630    2605    2592    2792    3000       0       0       0
Ru         19279   21657    2559    2683    2836    2763    2741    2965    3181       0       0       0
Rh         20216   22724    2697    2834    3001    2916    2891    3144    3364       0       0       0
Pd         21177   23819    2839    2990    3172    3073    3045    3329    3553       0       0       0
Ag         22163   24942    2984    3151    3348    3234    3203    3520    3746       0       0       0
Cd         23174   26096    3134    3317    3528    3401    3367    3717    3951       0       0       0
In         24210   27276    3287    3487    3714    3573    3535    3921    4161       0       0       0
Sn         25271   28486    3444    3663    3905    3750    3708    4131    4377       0       0       0
Sb         26359   29726    3605    3844    4101    3933    3886    4348    4600       0       0       0
Te         27472   30996    3769    4030    4302    4120    4070    4571    4829       0       0       0
I          28612   32295    3938    4221    4508    4313    4258    4801    5066       0       0       0
Xe         29779   33624    4110    4417    4719    4513    4258    5037    5305       0       0       0
Cs         30973   34987    4287    4620    4936    4717    4649    5280    5546       0       0       0
Ba         32194   36378    4466    4828    5157    4927    4852    5531    5804       0       0       0
La         33442   37801    4651    5042    5384    5143    5062    5789    6067     833     854    1027
Ce         34720   39257    4840    5262    5613    5365    5277    6052    6332     883     902    1075
Pr         36026   40748    5034    5489    5850    5592    5498    6322    6607     929     950    1127
Nd         37361   42271    5230    5722    6089    5829    5722    6602    6892     978     997    1180
Pm         38725   43826    5433    5961    6339    6071    5957    6892    7185    1029    1049    1237
Sm         40118   45413    5636    6205    6587    6318    6196    7178    7496    1081    1100    1291
Eu         41542   47038    5846    6456    6843    6571    6439    7480    7782    1131    1153    1346
Gd         43000   48697    6057    6713    7103    6831    6687    7786    8096    1185    1209    1402
Tb         44482   50229    6273    6978    7367    7096    6940    8102    8410    1240    1266    1461
