zMeas	zAbsorb	ka	kb	la	lb	ma	mb
1	1	0	0	0	0	0	0
2	1	0	0	0	0	0	0
3	1	75561.88	0	0	0	0	0
4	1	8950	0	0	0	0	0
5	1	1730	0	0	0	0	0
6	1	462	0	0	0	0	0
7	1	149	0	0	0	0	0
8	1	57	0	0	0	0	0
9	1	25	0	0	0	0	0
10	1	12	11	0	0	0	0
11	1	6	5	0	0	0	0
12	1	3	2	0	0	0	0
13	1	1	1	0	0	0	0
14	1	1	0.89724	0	0	0	0
15	1	0.6505	0.53172	0	0	0	0
16	1	0.40719	0.32795	0	0	0	0
17	1	0.26576	0.20846	0	0	0	0
18	1	0.17541	0.13483	0	0	0	0
19	1	0.11806	0.09029	0	0	0	0
20	1	0.08177	0.06078	245	236	0	0
21	1	0.05645	0.04303	152	147	0	0
22	1	0.04149	0.03038	99	95	0	0
23	1	0.03	0.02195	66	63	0	0
24	1	0.02217	0.01602	45	43	0	0
25	1	0.01601	0.01195	32	30	0	0
26	1	0.01259	0.00902	22	21	0	0
27	1	0.0096	0.00688	16	15	0	0
28	1	0.00744	0.00528	12	11	0	0
29	1	0.00576	0.00407	9	8	0	0
30	1	0.00454	0.00318	6	6	23801.47	0
31	1	0.00358	0	5	4	0	0
32	1	0.00287	0	3	3	0	0
33	1	0	0	3	2	0	0
34	1	0	0	2	2	0	0
35	1	0	0	1	1	0	0
36	1	0	0	1	1	0	0
37	1	0	0	1	1	0	0
38	1	0	0	0.9366	0.82984	0	0
39	1	0	0	0.75804	0.66945	2767	0
40	1	0	0	0.61906	0.54185	1773	0
41	1	0	0	0.50563	0.44241	1198	0
42	1	0	0	0.41608	0.36124	846	0
43	1	0	0	0.34466	0.29484	622	0
44	1	0	0	0.28922	0.24481	462	0
45	1	0	0	0.2406	0.20315	344	0
46	1	0	0	0.20212	0.16992	261	0
47	1	0	0	0.17107	0.14165	194	0
48	1	0	0	0.14434	0.11759	142	0
49	1	0	0	0.12133	0.09983	105	0
50	1	0	0	0.10449	0.08395	78	0
51	1	0	0	0.08899	0.07088	59	0
