  Element       ka       kb       la       lb       ma       mb
       H   .000000  .000000  .000000  .000000  .000000  .000000
       He  .000000  .000000  .000000  .000000  .000000  .000000
       Li  .000000  .000000  .000000  .000000  .000000  .000000
       Be  .000000  .000000  .000000  .000000  .000000  .000000
       B   .000000  .000000  .000000  .000000  .000000  .000000
       C   .000000  .000000  .000000  .000000  .000000  .000000
       N   .000000  .000000  .000000  .000000  .000000  .000000
       O   .000000  .000000  .000000  .000000  .000000  .000000
       F   .000000  .000000  .000000  .000000  .000000  .000000
       Ne  .000000  .000000  .000000  .000000  .000000  .000000
       Na  .000000  .000000  .000000  .000000  .000000  .000000
       Mg  .000000  .000000  .000000  .000000  .000000  .000000
       Al  .000000  .000000  .000000  .000000  .000000  .000000
       Si  .000000  .000000  .000000  .000000  .000000  .000000
       P   .000000  .000000  .000000  .000000  .000000  .000000
       S   .000000  .000000  .000000  .000000  .000000  .000000
       Cl  .000000  .000000  .000000  .000000  .000000  .000000
       Ar  .000000  .000000  .000000  .000000  .000000  .000000
       K   .000000  .000000  .000000  .000000  .000000  .000000
       Ca  .000000  .000000  .000000  .000000  .000000  .000000
       Sc  .000000  .000000  .000000  .000000  .000000  .000000
       Ti  .000000  .000000  .000000  .000000  .000000  .000000
       V   .000000  .000000  .000000  .000000  .000000  .000000
       Cr  .000000  .000000  .000000  .000000  .000000  .000000
       Mn  .000000  .000000  .000000  .000000  .000000  .000000
       Fe  .000000  .000000  .000000  .000000  .000000  .000000
       Co  .000000  .000000  .000000  .000000  .000000  .000000
       Ni  .000000  .000000  .000000  .000000  .000000  .000000
       Cu  .000000  .000000  .000000  .000000  .000000  .000000
       Zn  .000000  .000000  .000000  .000000  .000000  .000000
       Ga  .000000  .000000  .000000  .000000  .000000  .000000
       Ge  .000000  .000000  .000000  .000000  .000000  .000000
       As  .000000  .000000  .000000  .000000  .000000  .000000
       Se  .000000  .000000  .000000  .000000  .000000  .000000
       Br  .000000  .000000  .000000  .000000  .000000  .000000
       Kr  .000000  .000000  .000000  .000000  .000000  .000000
       Rb  .000000  .000000  .000000  .000000  .000000  .000000
       Sr  .000000  .000000  .000000  .000000  .000000  .000000
       Y   .000000  .000000  .000000  .000000  .000000  .000000
       Zr  .000000  .000000  .000000  .000000  .000000  .000000
       Nb  .000000  .000000  .000000  .000000  .000000  .000000
       Mo  .000000  .000000  .000000  .000000  .000000  .000000
       Tc  .000000  .000000  .000000  .000000  .000000  .000000
       Ru  .000000  .000000  .000000  .000000  .000000  .000000
       Rh  .000000  .000000  .000000  .000000  .000000  .000000
       Pd  .000000  .000000  .000000  .000000  .000000  .000000
       Ag  .000000  .000000  .000000  .000000  .000000  .000000
       Cd  .000000  .000000  .000000  .000000  .000000  .000000
       In  .000000  .000000  .000000  .000000  .000000  .000000
       Sn  .000000  .000000  .000000  .000000  .000000  .000000
       Sb  .000000  .000000  .000000  .000000  .000000  .000000
       Te  .000000  .000000  .000000  .000000  .000000  .000000
       I   .000000  .000000  .000000  .000000  .000000  .000000
       Xe  .000000  .000000  .000000  .000000  .000000  .000000
       Cs  .000000  .000000  .000000  .000000  .000000  .000000
       Ba  .000000  .000000  .000000  .000000  .000000  .000000
       La  .000000  .000000  .000000  .000000  .000000  .000000
       Ce  .000000  .000000  .000000  .000000  .000000  .000000
       Pr  .000000  .000000  .000000  .000000  .000000  .000000
       Nd  .000000  .000000  .000000  .000000  .000000  .000000
       Pm  .000000  .000000  .000000  .000000  .000000  .000000
       Sm  .000000  .000000  .000000  .000000  .000000  .000000
       Eu  .000000  .000000  .000000  .000000  .000000  .000000
       Gd  .000000  .000000  .000000  .000000  .000000  .000000
       Tb  .000000  .000000  .000000  .000000  .000000  .000000
       Dy  .000000  .000000  .000000  .000000  .000000  .000000
       Ho  .000000  .000000  .000000  .000000  .000000  .000000
       Er  .000000  .000000  .000000  .000000  .000000  .000000
       Tm  .000000  .000000  .000000  .000000  .000000  .000000
       Yb  .000000  .000000  .000000  .000000  .000000  .000000
       Lu  .000000  .000000  .000000  .000000  .000000  .000000
       Hf  .000000  .000000  .000000  .000000  .000000  .000000
       Ta  .000000  .000000  .000000  .000000  .000000  .000000
       W   .000000  .000000  .000000  .000000  .000000  .000000
       Re  .000000  .000000  .000000  .000000  .000000  .000000
       Os  .000000  .000000  .000000  .000000  .000000  .000000
       Ir  .000000  .000000  .000000  .000000  .000000  .000000
       Pt  .000000  .000000  .000000  .000000  .000000  .000000
       Au  .000000  .000000  .000000  .000000  .000000  .000000
       Hg  .000000  .000000  .000000  .000000  .000000  .000000
       Tl  .000000  .000000  .000000  .000000  .000000  .000000
       Pb  .000000  .000000  .000000  .000000  .000000  .000000
       Bi  .000000  .000000  .000000  .000000  .000000  .000000
       Po  .000000  .000000  .000000  .000000  .000000  .000000
       At  .000000  .000000  .000000  .000000  .000000  .000000
       Rn  .000000  .000000  .000000  .000000  .000000  .000000
       Fr  .000000  .000000  .000000  .000000  .000000  .000000
       Ra  .000000  .000000  .000000  .000000  .000000  .000000
       Ac  .000000  .000000  .000000  .000000  .000000  .000000
       Th  .000000  .000000  .000000  .000000  .000000  .000000
       Pa  .000000  .000000  .000000  .000000  .000000  .000000
       U   .000000  .000000  .000000  .000000  .000000  .000000
       Np  .000000  .000000  .000000  .000000  .000000  .000000
       Pu  .000000  .000000  .000000  .000000  .000000  .000000
       Am  .000000  .000000  .000000  .000000  .000000  .000000
       Cm  .000000  .000000  .000000  .000000  .000000  .000000
       Bk  .000000  .000000  .000000  .000000  .000000  .000000
       Cf  .000000  .000000  .000000  .000000  .000000  .000000
       Es  .000000  .000000  .000000  .000000  .000000  .000000
       Fm  .000000  .000000  .000000  .000000  .000000  .000000
